global_id,PRECINCT_shp,COUNTYGEOID10,COUNTYNAME10,PRECINCT_election_results,PRECINCTCODE_election_results,PRECINCT_misfit
5620,Kings 1,39007,Ashtabula,PRECINCT KINGSVILLE TWP. 1,ADM,
5621,Gen Twp 1,39007,Ashtabula,PRECINCT GENEVA TWP. 1,ACU,
5622,Harp 3,39007,Ashtabula,PRECINCT HARPERSFLD TWP 3,ADC,
5623,Gen City 7,39007,Ashtabula,PRECINCT GENEVA 7,ABY,
5624,Richmond,39007,Ashtabula,PRECINCT RICHMOND TWP.,AEF,
5625,Morgan,39007,Ashtabula,PRECINCT MORGAN TWP.,ADT,
5626,Aust. Twp 1,39007,Ashtabula,PRECINCT AUSTINBURG TWP. 1,ACO,
5627,Harp 2,39007,Ashtabula,PRECINCT HARPERSFLD TWP 2,ADB,
5628,Aust. Twp 2,39007,Ashtabula,PRECINCT AUSTINBURG TWP. 2,ACP,
5629,Say 1,39007,Ashtabula,PRECINCT SAYBROOK TWP. 1,AEH,
5630,NA,39007,Ashtabula,,,
5631,Conn 4-C,39007,Ashtabula,PRECINCT CONNEAUT 4-C,ABQ,
5632,Williamsfield Twp 1,39007,Ashtabula,PRECINCT WMSFLD TWP 1,AEV,
5224,ALBANY,39009,Athens,ALBANY VILLAGE,ABW,
5235,ALEX EAST,39009,Athens,ALEXANDER EAST,ABF,
5237,ALEX WEST,39009,Athens,ALEXANDER WEST,ABG,
5243,AMES TWP.,39009,Athens,AMES TOWNSHIP,ABH,
5226,AMESVILLE,39009,Athens,AMESVILLE VLG,ABI,
5222,ATHENS 1-1,39009,Athens,ATHENS 1-1,AAA,
5263,ATHENS 1-2,39009,Athens,ATHENS 1-2,AAB,
5249,ATHENS 1-3,39009,Athens,ATHENS 1-3,AAD,
5250,ATHENS 1-4,39009,Athens,ATHENS 1-4,AAE,
5251,ATHENS 1-5,39009,Athens,ATHENS 1-5,AAF,
5252,ATHENS 2-1,39009,Athens,ATHENS 2-1,AAG,
5253,ATHENS 2-2,39009,Athens,ATHENS 2-2,AAH,
5254,ATHENS 2-3,39009,Athens,ATHENS 2-3,AAI,
5255,ATHENS 2-4,39009,Athens,ATHENS 2-4,AAJ,
5264,ATHENS 2-5,39009,Athens,ATHENS 2-5,ACR,
5256,ATHENS 3-1,39009,Athens,ATHENS 3-1,AAK,
5257,ATHENS 3-2,39009,Athens,ATHENS 3-2,AAL,
5258,ATHENS 3-3,39009,Athens,ATHENS 3-3,AAM,
5221,ATHENS 3-4,39009,Athens,ATHENS 3-4,AAN,
5262,ATHENS 3-5,39009,Athens,ATHENS 3-5,AAP,
5220,ATHENS 3-6,39009,Athens,ATHENS 3-6,AAQ,
5219,ATHENS 4-1,39009,Athens,ATHENS 4-1,AAS,
5259,ATHENS 4-2,39009,Athens,ATHENS 4-2,AAU,
5260,ATHENS 4-3,39009,Athens,ATHENS 4-3,AAV,
5261,ATHENS 4-4,39009,Athens,ATHENS 4-4,AAW,
5265,ATHENS 4-5,39009,Athens,ATHENS 4-5,ACS,
5234,ATHENS BAKER,39009,Athens,ATHENS BAKER,ABJ,
5232,ATHENS EAST,39009,Athens,ATHENS EAST,ABK,
5233,ATHENS SOUTH,39009,Athens,ATHENS SOUTH,ABL,
5242,BERN TWP.,39009,Athens,BERN TOWNSHIP,ABO,
5229,BUCHTEL,39009,Athens,BUCHTEL VLG,ACO,
5212,CANAAN TWP.,39009,Athens,CANAAN TOWNSHIP,ABP,
5239,CARTHAGE TWP.,39009,Athens,CARTHAGE TOWNSHIP,ABR,
5223,CHAUNCEY,39009,Athens,CHAUNCEY VLG,ABS,
5247,CIRCLE HILL,39009,Athens,CIRCLE HILL,ABT,
5225,COOLVILLE,39009,Athens,COOLVILLE VILLAGE,ACI,
5210,GLOUSTER VILLAGE,39009,Athens,GLOUSTER VILLAGE,ACE,
5227,JACKSONVILLE,39009,Athens,JACKSONVILLE,ACB,
5236,LEE TWP.,39009,Athens,LEE TOWNSHIP,ABX,
5238,LODI TWP.,39009,Athens,LODI TOWNSHIP,ABY,
5245,MILLFIELD,39009,Athens,MILLFIELD,ABU,
5218,NELSONVILLE 1,39009,Athens,NELSONVILLE 1,AAX,
5217,NELSONVILLE 2,39009,Athens,NELSONVILLE 2,AAZ,
5216,NELSONVILLE 3,39009,Athens,NELSONVILLE 3,ABB,
5215,NELSONVILLE 4,39009,Athens,NELSONVILLE 4,ABD,
5248,NEW MARSHFIELD,39009,Athens,NEW MARSHFIELD,ACL,
5231,PLAINS 1,39009,Athens,PLAINS 1,ABM,
5230,PLAINS 2,39009,Athens,PLAINS 2,ABN,
5211,ROME TWP,39009,Athens,ROME TOWNSHIP,ABZ,
5246,SUGAR CREEK,39009,Athens,SUGAR CREEK,ABV,
5228,TRIMBLE,39009,Athens,TRIMBLE TOWNSHIP,ACC,
5244,TRIMBLE TWP.,39009,Athens,TRIMBLE VILLAGE,ACD,
5241,TROY EAST,39009,Athens,TROY EAST,ACJ,
5240,TROY WEST,39009,Athens,TROY WEST,ACK,
5213,WATERLOO,39009,Athens,WATERLOO,ACM,
5214,YORK TWP.,39009,Athens,YORK TOWNSHIP,ACP,
1157,SALEM,39011,Auglaize,PRECINCT SALEM,ABK,
1158,LOGAN,39011,Auglaize,PRECINCT LOGAN,ABC,
1159,NOBLE,39011,Auglaize,PRECINCT NOBLE,ABF,
1160,BUCKLAND,39011,Auglaize,PRECINCT BUCKLAND,ABB,
1161,MOULTON,39011,Auglaize,PRECINCT MOULTON,ABD,
1162,WAPAK-1B,39011,Auglaize,PRECINCT WAPAKONETA 1B,AAH,
1163,WAPAK-2B,39011,Auglaize,PRECINCT WAPAKONETA 2B,AAJ,
1164,WAPAK-1A,39011,Auglaize,PRECINCT WAPAKONETA 1A,AAG,
